,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Maximum Stability Current Density (A cm-2),Stability Test Time (h-1),CL_50
57,50,5.629181396,5.0,74.37742114,16.76812396,8.854454898,0.176,30.0,0.333,0.36458218,0.1,90,980,4.0,1000.0,1
17,30,10.0,20.0,20.0,0.0,0.0,0.428571429,100.0,0.428571429,1.5,1.0,88,1100,0.22797,4.0,1
46,80,60.0,25.0,0.0,83.55,16.45,1.166449873,0.0,0.930610563,2.5065,0.7,125,1100,1.0,500.0,1
22,55,172.8442295,120.0,100.0,0.0,0.0,0.599944605,100.0,4.727635529,1.0,0.9,125,1100,4.0,250.0,1
62,80,40.0,3.645,85.52915767,0.0,14.47084233,0.402491773,40.0,0.457914718,2.138228942,0.5,175,1100,1.0,300.0,0
68,80,40.84253457,25.0,74.37742114,16.76812396,8.854454898,0.43,40.0,0.33,0.911455451,0.4,50,1100,1.0,400.0,1
9,80,1.5,5.0,100.0,0.0,0.0,0.374007744,46.0,0.624647855,1.0,0.184,50,1100,0.001,5.8,1
18,80,9.1,5.0,85.73,0.0,14.27,0.052631579,46.7,0.428571429,1.000691145,0.1,25,1100,0.3,24.0,0
15,80,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,2.56587473,0.5,50,1100,1.0,105.0,0
83,80,5.0,5.0,75.0,0.0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,3.0,100.0,0
48,80,40.0,3.645,6686.367932,0.0,1113.280261,0.33,40.0,0.33,2.5,0.5,175,1100,1.0,10.0,0
86,80,109.4797653,50.0,32.57142857,0.0,30.26987009,0.709577908,61.15418245,1.292839834,0.651428571,0.4,125,1100,1.5,1200.0,1
0,55,40.0,8.0,74.37742114,16.76812396,8.854454898,0.25,100.0,2.5,3.0,3.0,90,980,1.0,5700.0,1
