Title,Country,Year,Operating Temperature (℃),Cathode Pressure (bar),Anode Pressure (bar),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,Anode Catalyst Type,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Catalyst Loading,Catahode Catalyst Loading,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),MEA Preparation Method,CCM_0/GDE_1,Membrane Thickness (μm),EW,Type,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1)
Development and performance evaluation of Proton Exchange Membrane (PEM) based hydrogen generator for portable applications,India,2011,80,1.5,1.5,1.5,4.166666667,100,85.52915767,0,14.47084233,0,0,IrO2 oxide,,100,,1.2,0.4,1.026349892,0.4,CCM,0,175,1100,nafion 117,0.097,0.10597,0.25907,0.53847,0.90535,1.13916,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,Germany,2015,80,1,1,1,1.5,5,100,0,0,0,0,Ir black,,46,,1,0.4,1,0.184,CCM,0,50,1100,nafion 212,0.10355,0.32618,0.54925,0.80336,1.04727,1.30494,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,Germany,2015,80,1,1,1,1.5,5,40,0,0,60,1,Ir/Carbon,,46,,1,0.4,0.4,0.184,CCM,0,50,1100,nafion 212,0.14834,0.43794,0.74615,1.06368,1.37234,1.65573,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,Germany,2015,80,1,1,1,1.5,5,40,0,0,60,1,Ir-ND/carbon,,46,,1,0.4,0.4,0.184,CCM,0,50,1100,nafion 212,0.25744,0.66854,1.05437,1.44685,1.85485,2.29079,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,Germany,2015,80,1,1,1,1.5,5,100,0,0,0,0,Ir-ND,,46,,1,0.4,1,0.184,CCM,0,50,1100,nafion 212,0.1887,0.58118,0.96434,1.34086,1.72402,2.09787,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,Germany,2015,80,1,1,1,1.5,5,40,0,12.7397,0,1,Ir-ND/ATO,,46,,1,0.4,0.4,0.184,CCM,0,50,1100,nafion 212,0.28227,0.69648,1.12311,1.50273,1.92004,2.35287,0,0,0,0
Calculating the Electrochemically Active Surface Area of Iridium Oxide in Operating Proton Exchange Membrane Electrolyzers,United States,2015,80,1,1,1,,25,85.52915767,0,14.47084233,0,0,IrOx,1,100,1,,,,,CCM,0,,1100,Nafion Membrane,0.0332888,0.29918556,0.59331638,0.88186245,1.14744894,1.45026717,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,80,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.22918,0.75619,2.17371,4.10261,6.10651,8.11041,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,80,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.09854,1.07397,2.73982,4.40567,6.07152,7.73737,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,90,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.14549,1.33652,3.28342,5.23032,7.17722,9.12412,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.14549,1.33652,3.28342,5.23032,7.17722,9.12412,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.01279,0.04669,0.11858,0.248,0.41541,0.66088,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.02409,0.05799,0.15248,0.29216,0.51607,0.8509,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.12988,0.52736,1.59451,3.22654,5.17595,7.12536,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0.25,0.25,CCM,0,50,825,NSTF 3M membrane,0.07955,0.57153,2.02485,4.15914,6.41667,8.6742,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.375,0.25,0.375,0.25,CCM,0,50,825,NSTF 3M membrane,0.12475,0.73894,2.18713,4.23206,6.43,8.62794,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.5,0.25,0.5,0.25,CCM,0,50,825,NSTF 3M membrane,0.09085,0.78414,2.31552,4.40564,6.4557,8.50576,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",United States,2015,100,1,1,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,1 Ir,0.25 Pt,1,0.25,CCM,0,50,825,NSTF 3M membrane,0.09085,0.83446,2.39871,4.48883,6.54506,8.60129,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,United States,2018,20,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,,100,,3,3,2.734366353,3,ccm,0,125,1100,nafion 115,0.0151,0.12029,0.40423,0.76132,1.1635,1.5633,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,United States,2018,40,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,,100,,3,3,2.734366353,3,ccm,0,125,1100,nafion 115,0.03013,0.22153,0.6237,1.12909,1.66216,2.19523,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,United States,2018,60,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,,100,,3,3,2.734366353,3,ccm,0,125,1100,nafion 115,0.07324,0.42163,0.93532,1.50952,2.13117,2.75282,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,United States,2018,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,,100,,3,3,2.734366353,3,ccm,0,125,1100,nafion 115,0.32474,1.01481,1.86226,2.70971,3.55716,4.40461,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,40,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.01023634,0.06336654,0.11634964,0.169430807,0.222487457,0.275544107,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,50,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.02349919,0.07844828,0.13779407,0.194208727,0.251356167,0.308503607,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,60,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.02885426,0.12713963,0.22113042,0.317984263,0.414122343,0.510260423,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,40,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0.909090909,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.03541348,0.11062659,0.23577379,0.327631597,0.427811752,0.527991907,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,50,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0.909090909,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.03960991,0.13511649,0.25952725,0.364668557,0.474627227,0.584585897,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,60,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,0.909090909,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.06120501,0.17093956,0.31697995,0.438816447,0.566703917,0.694591387,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,40,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,2.727272727,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.10441581,0.34075001,0.60731903,0.853731503,1.105183113,1.356634723,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,50,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,2.727272727,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.14405402,0.436515,0.74215042,1.03900288,1.33805108,1.63709928,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,60,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,2.727272727,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.22550892,0.53432555,0.86804489,1.185162423,1.506430408,1.827698393,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,40,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,4.545454545,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.0679372,0.29697721,0.50232918,0.723473177,0.940669167,1.157865157,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,50,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,4.545454545,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.12256143,0.34417924,0.57725573,0.8026931,1.03004025,1.2573874,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,Greece,2011,60,1.57,1.57,1.57,100,5.29,100,0,0,0,0,sputtered Ir,4.545454545,100,3,0.55,0.5,0.55,0.5,GDE,1,175,1100,nafion 117,0.16322821,0.42977897,0.69443128,0.960349223,1.225950758,1.491552293,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,Bulgaria,2007,80,1,1,1,,,85.52915767,0,14.47084233,0,0,sputtered Ir,5,20,,0.1,,0.085529158,,GDE,1,175,1100,nafion 117,0.68228765,0.82261601,0.87400062,0.90533831,0.936676,0.96801369,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,Bulgaria,2007,80,1,1,1,,,85.52915767,0,14.47084233,0,0,sputtered Ir,2.5,20,,0.2,,0.171058315,,GDE,1,175,1100,nafion 117,0.74242838,0.87146595,0.92791989,0.97930449,1.03068909,1.08207369,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,Bulgaria,2007,80,1,1,1,,,85.52915767,0,14.47084233,0,0,sputtered Ir,1.666666667,20,,0.3,,0.256587473,,GDE,1,175,1100,nafion 117,0.73482438,0.85395371,0.90533831,0.95672291,1.00810751,1.05949211,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,Bulgaria,2007,80,1,1,1,,,85.52915767,0,14.47084233,0,0,sputtered Ir,1.25,20,,0.4,,0.342116631,,GDE,1,175,1100,nafion 117,0.70233456,0.83644146,0.89151286,0.94658426,1.00165566,1.05672706,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,0.5,0.5 Pt,0.427645788,0.5,CCM,0,50,1100,nafion 212,0.26127,0.66447,1.1295,1.54998,1.92591,2.30184,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,1,0.5 Pt,0.855291577,0.5,CCM,0,50,1100,nafion 212,0.36536,0.85766,1.42634,1.98773,2.54912,3.11051,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,1.5,0.5 Pt,1.282937365,0.5,CCM,0,50,1100,nafion 212,0.45446,1.07495,1.75772,2.44049,3.12326,3.80603,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,2,0.5 Pt,1.710583153,0.5,CCM,0,50,1100,nafion 212,0.51128,1.24587,2.06183,2.87779,3.69375,4.50971,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,3,0.5 Pt,2.56587473,0.5,CCM,0,50,1100,nafion 212,0.51628,1.33997,2.27457,3.20917,4.14377,5.07837,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,4,0.5 Pt,3.421166307,0.5,CCM,0,50,1100,nafion 212,0.50628,1.19132,1.92364,2.65596,3.38828,4.1206,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,4,0.05 Pt,3.421166307,0.05,CCM,0,50,1100,nafion 212,0.4488,1.04472,1.65038,2.23654,2.8227,3.40886,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,4,0.2 Pt,3.421166307,0.2,CCM,0,50,1100,nafion 212,0.51398,1.21365,2.00022,2.78679,3.57336,4.35993,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,4,1 Pt,3.421166307,1,CCM,0,50,1100,nafion 212,0.53083,1.3174,2.1186,2.9198,3.721,4.5222,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,South Africa,2011,80,1,1,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,4,2 Pt,3.421166307,2,CCM,0,50,1100,nafion 212,0.57428,1.30543,2.27999,3.25455,4.22911,5.20367,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1,1,1,1,CCM,0,88,1100,nafion 1135,0.01,0.12719098,0.30498579,0.50730402,0.75294696,1.00185969,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.0105,0.13720471,0.32828304,0.54286298,0.79851965,1.05192835,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,2,1,2,1,CCM,0,88,1100,nafion 1135,0.011,0.15048823,0.363842,0.59170546,0.84511416,1.10424498,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,2.5,1,2.5,1,CCM,0,88,1100,nafion 1135,0.0109,0.17603346,0.39163521,0.61520708,0.86187183,1.0907571,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,3,1,3,1,CCM,0,88,1100,nafion 1135,0.0099,0.16152377,0.34953667,0.55737267,0.77297442,0.99184596,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.111111111,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.01,0.22385,0.48919,0.7918,1.1052,1.42939,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.25,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.01,0.22385,0.48919,0.7918,1.1052,1.42939,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.667,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.005,0.08113,0.20251,0.35308,0.5424,0.74643,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1.5,1,1.5,1,CCM,0,50,1100,nafion 112,0.01,0.18248,0.44263,0.72944,1.07446,1.44124,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1.5,1,1.5,1,CCM,0,125,1100,nafion 115,0.007,0.08566,0.21588,0.36266,0.5177,0.69267,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,45,1,1,1,10,20,100,0,0,0,0,Ir black,0.667,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.08264,0.30023,0.60495,0.9866,1.40734,1.82808,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,60,1,1,1,10,20,100,0,0,0,0,Ir black,0.667,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.11494,0.41116,0.8064,1.23607,1.70993,2.18379,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,75,1,1,1,10,20,100,0,0,0,0,Ir black,0.667,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.18464,0.5565,1.00487,1.50211,2.01975,2.53739,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,80,1,1,1,10,20,100,0,0,0,0,Ir black,0.667,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.24456,0.62833,1.09072,1.59901,2.11665,2.63429,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,20,0,0,40,1,Ir/TiC,0.428571429,100,0.428571429,1.5,1,0.3,1,CCM,0,88,1100,nafion 1135,0.013,0.22797,0.59661,1.07302,1.52048,1.99042,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1.5,1,1.5,1,CCM,0,88,1100,nafion 1135,0.0498,0.19019,0.39794,0.67434,0.94687,1.19797,0.13720471,0.13720471,0,4
Investigations on high performance proton exchange membrane water electrolyzer,china,2009,30,1,1,1,10,20,20,0,0,40,1,Ir/TiC,0.428571429,100,0.428571429,1.5,1,0.3,1,CCM,0,88,1100,nafion 1135,0.06529,0.21962,0.49601,0.80647,1.08855,1.40572,0.22797,0.22797,0,4
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,United States,2019,60,1,1,1,2,25,85.52915767,0,14.47084233,0,0,IrOx,,,,2.5,0.8,2.138228942,0.8,CCM,0,175,1100,nafion 117,0.05815,0.3254,0.69569,1.08795,1.50897,1.92737,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,United States,2019,80,1,1,1,2,25,85.52915767,0,14.47084233,0,0,IrOx,,,,2.5,0.8,2.138228942,0.8,CCM,0,175,1100,nafion 117,0.16014,0.53063,0.97191,1.44419,1.95522,2.45851,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,United States,2019,56,1,1,1,2,25,85.52915767,0,14.47084233,0,0,IrOx,,,,2.5,0.8,2.138228942,0.8,CCM,0,175,1100,nafion 117,0.09344,0.40181,0.76861,1.11847,1.44205,1.76563,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,United States,2019,58,1,1,1,2,25,85.52915767,0,14.47084233,0,0,IrOx,,,,2.5,0.8,2.138228942,0.8,CCM,0,175,1100,nafion 117,0.08584,0.41495,0.78002,1.13541,1.47386,1.81231,0,0,0,0
